2024-02-24 08:38:57,479 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.025933636077809255, 'Round Trip Time (s)': 0.03649746095283039, 'End-to-End Delay (s)': 0.11957383155822754}
2024-02-24 08:38:57,479 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.016596546309227817, 'Round Trip Time (s)': 0.045834550721411835, 'End-to-End Delay (s)': 0.11957383155822754}
2024-02-24 08:38:57,479 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.045632869991091556, 'Round Trip Time (s)': 0.016798227039548093, 'End-to-End Delay (s)': 0.11957383155822754}
2024-02-24 08:38:57,479 [Thread-3 (run_client)] [INFO] {'Transmission Speed (bps)': 1960.0042057127598, 'Transmission Delay (s)': 0.05714273452758789, 'Propagation Delay (s)': 0.031153871901596776, 'Round Trip Time (s)': 0.03127722512904287, 'End-to-End Delay (s)': 0.11957383155822754}
2024-02-24 08:38:57,494 [Thread-16 (run_client)] [INFO] {'Transmission Speed (bps)': 1992.2139110004707, 'Transmission Delay (s)': 0.056218862533569336, 'Propagation Delay (s)': 0.02309423603032229, 'Round Trip Time (s)': 0.03936261020686033, 'End-to-End Delay (s)': 0.11867570877075195}
2024-02-24 08:38:57,494 [Thread-12 (run_client)] [INFO] {'Transmission Speed (bps)': 1992.2139110004707, 'Transmission Delay (s)': 0.056218862533569336, 'Propagation Delay (s)': 0.0374803184362363, 'Round Trip Time (s)': 0.024976527800946315, 'End-to-End Delay (s)': 0.11867570877075195}
2024-02-24 08:38:57,494 [Thread-2 (run_client)] [INFO] {'Transmission Speed (bps)': 1992.2139110004707, 'Transmission Delay (s)': 0.056218862533569336, 'Propagation Delay (s)': 0.014868339427607794, 'Round Trip Time (s)': 0.047588506809574826, 'End-to-End Delay (s)': 0.11867570877075195}
2024-02-24 08:38:57,494 [Thread-11 (run_client)] [INFO] {'Transmission Speed (bps)': 2057.2559296500017, 'Transmission Delay (s)': 0.05444145202636719, 'Propagation Delay (s)': 0.01754672985424996, 'Round Trip Time (s)': 0.04491011638293266, 'End-to-End Delay (s)': 0.1168982982635498}
2024-02-24 08:38:57,494 [Thread-7 (run_client)] [INFO] {'Transmission Speed (bps)': 2057.2559296500017, 'Transmission Delay (s)': 0.05444145202636719, 'Propagation Delay (s)': 0.01896840233917737, 'Round Trip Time (s)': 0.04348844389800525, 'End-to-End Delay (s)': 0.1168982982635498}
2024-02-24 08:38:57,494 [Thread-4 (run_client)] [INFO] {'Transmission Speed (bps)': 2057.2559296500017, 'Transmission Delay (s)': 0.05444145202636719, 'Propagation Delay (s)': 0.0375656415010846, 'Round Trip Time (s)': 0.024891204736098016, 'End-to-End Delay (s)': 0.1168982982635498}
2024-02-24 08:38:57,510 [Thread-5 (run_client)] [INFO] {'Transmission Speed (bps)': 1598.7708685723233, 'Transmission Delay (s)': 0.0700538158416748, 'Propagation Delay (s)': 0.015773324867373407, 'Round Trip Time (s)': 0.046786756614560186, 'End-to-End Delay (s)': 0.1326138973236084}
2024-02-24 08:38:57,510 [Thread-1 (run_client)] [INFO] {'Transmission Speed (bps)': 1598.7708685723233, 'Transmission Delay (s)': 0.0700538158416748, 'Propagation Delay (s)': 0.03646343042364993, 'Round Trip Time (s)': 0.02609665105828366, 'End-to-End Delay (s)': 0.1326138973236084}
2024-02-24 08:38:57,604 [Thread-20 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.02574300801573287, 'Round Trip Time (s)': 0.03672051394166459, 'End-to-End Delay (s)': 0.12502074241638184}
2024-02-24 08:38:57,604 [Thread-8 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.03713007339992276, 'Round Trip Time (s)': 0.0253334485574747, 'End-to-End Delay (s)': 0.12502074241638184}
2024-02-24 08:38:57,604 [Thread-14 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.03827656198143324, 'Round Trip Time (s)': 0.02418695997596422, 'End-to-End Delay (s)': 0.12502074241638184}
2024-02-24 08:38:57,604 [Thread-13 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.01733553934063563, 'Round Trip Time (s)': 0.04512798261676183, 'End-to-End Delay (s)': 0.12502074241638184}
2024-02-24 08:38:57,604 [Thread-18 (run_client)] [INFO] {'Transmission Speed (bps)': 1790.3608756631502, 'Transmission Delay (s)': 0.06255722045898438, 'Propagation Delay (s)': 0.02977461458923343, 'Round Trip Time (s)': 0.03268890736816403, 'End-to-End Delay (s)': 0.12502074241638184}
